ID;Nombre;ID_Interno;ID_Visible
225818.1353;MÓDULO DE INVESTIGACIÓN - 225818.1353 (Remoto);_1628594_1;INVE.5236.225818.1353.R
225832.1020;FINANZAS COSTOS Y PRESUPUESTOS - 225832.1020 (Remoto);_1628595_1;FINN.5117.225832.1020.R
225932.1046;RIESG. AMEN. VULNER. NAT. - 225932.1046 (Remoto);_1628596_1;MAGM.6271.225932.1046.R
224845.1611;GESTIÓN DE TI EN MINERÍA - 224845.1611 (Remoto);_1628597_1;ITEC.5106.224845.1611.R
225814.1151;FASE II: MÉTODO CONTRAT PROC S - 225814.1151 (Virtual);_1628599_1;MAGM.5235.225814.1151.V
224845.1701;PROYECTOS PÚB CON BIM - 224845.1701 (Remoto);_1628600_1;MAGM.5221.224845.1701.R
224845.1070;E-COMMERCE - 224845.1070 (Remoto);_1628601_1;MARK.5152.224845.1070.R
225932.1030;CONTRATACIÓN ELECTRÓNICA SEACE - 225932.1030 (Remoto);_1628602_1;MAGM.6178.225932.1030.R
225932.1014;GEST.DE REMU.Y BENEFICIOS.GTHU - 225932.1014 (Remoto);_1628603_1;RRHH.6109.225932.1014.R
225932.1006;PENTESTING 2 - 225932.1006 (Remoto);_1628604_1;MAGM.6249.225932.1006.R
225818.1585;NEG Y GESTIÓN CONFLICTOS - 225818.1585 (Remoto);_1628605_1;MAGM.5129.225818.1585.R
225932.1038;HERRAMIENTAS ANÁLISIS BIG DATA - 225932.1038 (Remoto);_1628606_1;MAGM.6197.225932.1038.R
225932.1032;MODERNIZACIÓN Y E-GOVERNMENT - 225932.1032 (Remoto);_1628607_1;MAGM.6179.225932.1032.R
224845.1721;CIUDAD. DESARROLLO SOSTENIBLE - 224845.1721 (Remoto);_1628608_1;MAGM.5181.224845.1721.R
225832.1096;MANAG. Y ESTRA. BIM - 225832.1096 (Remoto);_1628609_1;MAGM.5215.225832.1096.R
225832.1093;MÓDULO DE INVESTIGACIÓN - 225832.1093 (Remoto);_1628610_1;INVE.5236.225832.1093.R
225929.1007;PROYECTOS PÚB CON BIM - 225929.1007 (Remoto);_1628611_1;MAGM.6264.225929.1007.R
225814.1056;MÓDULO DE INVESTIGACIÓN - 225814.1056 (Remoto);_1629003_1;INVE.5236.225814.1056.R
225841.1796;PLAN DE MARK. DIG. - 225841.1796 (Remoto);_1624838_1;MARK.5132.225841.1796.R
226315.1015;ENGLISH FOR LEARNING - 226315.1015 (Remoto);_1626799_1;IDIO.0010.226315.1015.R
226315.1005;ENGLISH FOR LEARNING - 226315.1005 (Remoto);_1626694_1;IDIO.0010.226315.1005.R
226315.1085;ENGLISH FOR LEARNING - 226315.1085 (Remoto);_1626196_1;IDIO.0010.226315.1085.R
226315.1095;ENGLISH FOR LEARNING - 226315.1095 (Remoto);_1626190_1;IDIO.0010.226315.1095.R
226315.1105;ENGLISH FOR LEARNING - 226315.1105 (Remoto);_1626178_1;IDIO.0010.226315.1105.R
226315.1115;ENGLISH FOR LEARNING - 226315.1115 (Remoto);_1626171_1;IDIO.0010.226315.1115.R
224845.1870;PROG. PRES. Y PRES. RESULTADOS - 224845.1870 (Remoto);_1626139_1;FINN.5134.224845.1870.R
224845.1779;CIUDAD. DESARROLLO SOSTENIBLE - 224845.1779 (Remoto);_1626138_1;MAGM.5181.224845.1779.R
